Cluster 01,Cluster 02,Cluster 03,Cluster 04,Cluster 05,Cluster 06,Cluster 07,Cluster 08,Cluster 09,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
'03437','01332','01007','03765','01823','01327','02837','01499','01276','02251','02311','03358','04629','03546','01877',,'03177',,'04129',
'03455','01333','01012','03767','01825','01340','02868','01500','01299','02268','02313','03366','04663','03568','01878',,'03216',,'04133',
'03494','01335','01046','03769','01884','01350','02942','01501','01306','02287','02315','03386','04722','03575','01879',,'03258',,'04143',
'03566','01337','01082','03807','01907','01365','02963','01505','01314','02290','02327','03408','04731','03639','01903',,'03285',,'04160',
'03577','01341','01083','03815','01910','01366','03000','01523','01329','02337','02332','03449','04753','03663','01909',,'03294',,'04176',
'03587','01361','01086','03879','01936','01379','03008','01527','01338','02344','02347','03511','04803','03712','01916',,'03369',,'04181',
'03604','01370','01100','03885','01972','01386','03046','01541','01360','02360','02370','03523','04808','03716','01948',,'03410',,'04182',
'03619','01371','01105','03888','02000','01387','03084','01548','01363','02362','02380','03629','04910','03724','01961',,'03472',,'04216',
'03739','01375','01116','03905','02014','01388','03085','01553','01389','02363','02386','03649','04919','03779','01970',,'03484',,'04221',
'03747','01385','01120','03912','02015','01393','03093','01560','01399','02414','02410','03708',,'03789','01984',,'03490',,'04244',
'03838','01418','01122','03941','02031','01397','03115','01564','01403','02424','02418','03785',,'03822','01986',,'03565',,'04250',
'03900','01427','01134','03956','02034','01419','03193','01567','01414','02509','02438','03786',,'03835','01992',,'03591',,'04276',
'03926','01431','01137','03992','02036','01442','03250','01579','01429','02521','02492','03809',,'03847','02019',,'03632',,'04289',
'03982','01449','01138','04013','02046','01444','03313','01585','01430','02641','02494','03825',,'03861','02029',,'03642',,'04325',
'04019','01450','01140','04055','02079','01467','03335','01592','01461','02642','02538','03844',,'03964','02067',,'03691',,'04330',
'04022','01479','01145','04060','02082','01473','03348','01595','01466','02685','02563','03859',,'04016','02074',,'03695',,'04332',
'04043','01481','01150','04098','02086','01477','03389','01598','01480','02706','02575','03867',,'04109','02075',,'03710',,'04336',
'04158','01491','01160','04099','02097','01478','03402','01606','01490','02740','02604','03894',,'04136','02091',,'03744',,'04436',
'04178','01511','01169','04115','02110','01502','03527','01627','01540','02747','02613','03907',,'04148','02095',,'03782',,'04580',
'04205','01513','01176','04159','02119','01517','03611','01629','01543','02775','02637','03924',,'04154','02102',,'03812',,'04598',
'04277','01528','01183','04194','02131','01519','03625','01632','01583','02776','02646','03962',,'04291','02106',,'03824',,'04623',
'04338','01561','01205','04260','02160','01524','03648','01650','01586','02812','02654','04010',,'04295','02112',,'03834',,'04645',
'04450','01570','01238','04268','02212','01534','03666','01662','01593','02841','02658','04030',,'04344','02147',,'03908',,'04655',
'04558','01571','01253','04392','02231','01550','03843','01671','01596','02880','02659','04070',,'04368','02151',,'03925',,'04687',
'04640','01587','01258','04399','02256','01590','03932','01679','01603','02908','02705','04156',,'04421','02179',,'03931',,'04698',
'04667','01597','01277','04402','02260','01594','03949','01691','01607','02933','02737','04179',,'04427','02206',,'03943',,'04707',
'04703','01608','01280','04405','02267','01602','03963','01699','01609','02938','02750','04218',,'04455','02207',,'03948',,'04715',
'04709','01617','01289','04432','02308','01604','03975','01704','01618','02957','02798','04241',,'04462','02213',,'03980',,'04793',
'04710','01643','01305','04440','02320','01616','03993','01717','01619','03011','02821','04249',,'04467','02227',,'03991',,'04800',
'04737','01644','01312','04441','02326','01628','04025','01723','01665','03014','02831','04259',,'04472','02264',,'03995',,'04801',
'04740','01648','01315','04474','02334','01661','04069','01727','01683','03034','02850','04267',,'04492','02272',,'04031',,'04859',
'04742','01649','01320','04484','02338','01667','04074','01740','01732','03037','02865','04371',,'04498','02275',,'04041',,'04899',
'04794','01651','01334','04545','02346','01678','04088','01746','01753','03039','02871','04381',,'04531','02316',,'04042',,'04905',
'04827','01672','01339','04554','02355','01681','04097','01757','01773','03098','02889','04389',,'04547','02340',,'04086',,'04909',
'04853','01676','01342','04583','02359','01722','04117','01759','01843','03124','02898','04420',,'04555','02361',,'04096',,'04931',
'04856','01677','01344','04597','02365','01738','04123','01762','01845','03153','02906','04433',,'04584','02375',,'04104',,'04943',
'04924','01700','01347','04619','02379','01750','04139','01777','01867','03163','02907','04448',,'04624','02385',,'04122',,'04957',
'04926','01705','01351','04621','02394','01752','04144','01788','01868','03176','02916','04452',,'04641','02398',,'04149',,'04964',
'04940','01731','01357','04635','02434','01755','04186','01789','01885','03197','02923','04471',,'04658','02403',,'04157',,'04991',
'04988','01747','01362','04636','02476','01756','04213','01799','01890','03217','02935','04527',,'04676','02415',,'04173',,,
'05000','01769','01367','04706','02526','01758','04229','01818','01912','03240','02946','04563',,'04832','02425',,'04282',,,
'05009','01770','01384','04770','02533','01779','04236','01831','01915','03256','02956','04600',,'04874','02441',,'04310',,,
,'01782','01390','04797','02547','01821','04237','01842','01917','03299','02967','04631',,'04884','02447',,'04314',,,
,'01786','01391','04813','02554','01827','04299','01851','01920','03315','02978','04659',,'04925','02459',,'04347',,,
,'01796','01392','04818','02584','01836','04365','01860','01924','03330','03020','04754',,'04938','02477',,'04397',,,
,'01803','01395','04830','02588','01844','04367','01875','01925','03334','03055','04769',,,'02488',,'04446',,,
,'01810','01408','04838','02595','01858','04396','01891','01957','03338','03091','04802',,,'02490',,'04466',,,
,'01830','01412','04845','02669','01870','04403','01904','01964','03420','03095','04834',,,'02514',,'04473',,,
,'01834','01424','04858','02671','01871','04470','01914','01974','03422','03123','04837',,,'02515',,'04476',,,
,'01899','01432','04888','02678','01872','04504','01940','01978','03426','03129','04842',,,'02523',,'04481',,,
,'01911','01460','04929','02748','01881','04654','01944','01987','03442','03183','04872',,,'02567',,'04541',,,
,'01927','01484','04930','02781','01893','04671','01966','01995','03446','03198','04879',,,'02601',,'04556',,,
,'01929','01492','04946','02790','01922','04716','01968','02013','03467','03204','04959',,,'02603',,'04561',,,
,'01932','01503','04985','02814','01938','04734','02001','02017','03477','03212','04998',,,'02607',,'04581',,,
